Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Design Hit Counter,100.0,0.006972115118681569,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,IP to CIDR,98.2,0.005372618356468043,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
MEDIUM,Design Tic-Tac-Toe,95.2,0.005874854129429664,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,House Robber,86.9,0.005332530021937704,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
MEDIUM,Step-By-Step Directions From a Binary Tree Node to Another,83.0,0.00564555460049331,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
MEDIUM,House Robber II,83.0,0.004507796440839326,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
MEDIUM,Find All Anagrams in a String,79.2,0.00539579428196261,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Time Based Key-Value Store,74.5,0.0049990712628907715,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Snapshot Array,63.9,0.0036751136029544505,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
MEDIUM,RLE Iterator,63.9,0.005933760307107743,https://leetcode.com/problems/rle-iterator,"Array, Design, Counting, Iterator"
EASY,Number of Recent Calls,61.4,0.007861977888750975,https://leetcode.com/problems/number-of-recent-calls,"Design, Queue, Data Stream"
HARD,Text Justification,58.4,0.0051389288283197245,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Split Message Based on Limit,58.4,0.004214035278943448,https://leetcode.com/problems/split-message-based-on-limit,"String, Enumeration"
HARD,Unique Paths III,55.0,0.00828763570168737,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
MEDIUM,Permutation in String,50.8,0.004911059516956449,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
HARD,Number of Flowers in Full Bloom,45.4,0.0057948351493592185,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
MEDIUM,Longest Mountain in Array,45.4,0.00422602518434301,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Spiral Matrix,45.4,0.005707366430805041,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Shortest Path in a Grid with Obstacles Elimination,45.4,0.004640256094492777,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
MEDIUM,Shortest Path in Binary Matrix,45.4,0.005173016203359596,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Longest Palindrome by Concatenating Two Letter Words,37.8,0.005348745843354142,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
MEDIUM,Closest Leaf in a Binary Tree,37.8,0.004745399833104343,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Find the Length of the Longest Common Prefix,37.8,0.006227331252133824,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
MEDIUM,Finding Pairs With a Certain Sum,37.8,0.00615543557394089,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Array, Hash Table, Design"
MEDIUM,String to Integer (atoi),37.8,0.0021184148843665807,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Merge Intervals,37.8,0.005211656201608022,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
HARD,Minimum Cost to Reach Destination in Time,37.8,0.004177507649397415,https://leetcode.com/problems/minimum-cost-to-reach-destination-in-time,"Array, Dynamic Programming, Graph Theory"
MEDIUM,Minimum Knight Moves,37.8,0.004199291637871459,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
HARD,Count Integers in Intervals,37.8,0.003601328743711335,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
